Country,Cases,Latitude,Longitute
United States,20640214,37.09024,-95.712891
India,10340469,20.593684,78.96288
Brazil,7733746,-14.235004,-51.92528
Russia,3260138,61.52401,105.318756
France,2655728,46.227638,2.213749
United Kingdom,2654779,55.378051,-3.435973
Italy,2155446,41.87194,12.56738
Spain,1958844,40.463667,-3.74922
Germany,1775513,51.165691,10.451526
Colombia,1675820,4.570868,-74.297333
Argentina,1640705,-38.416097,-63.616672
Mexico,1448755,23.634501,-102.552784
Turkey,1417697,38.963745,35.243322
Poland,1322947,51.919438,19.145136
Iran,1243434,32.427908,53.688046
Ukraine,1074093,48.379433,31.16558
Peru,1021058,-9.189967,-75.015152
Netherlands,820193,52.132633,5.291266
Indonesia,758473,-0.789275,113.921327
Belgium,650794,50.503887,4.469936
Romania,640429,45.943161,24.96676
Chile,618191,-35.675147,-71.542969
Canada,601663,56.130366,-106.346771
Iraq,598369,33.223191,43.679291
Bangladesh,516019,23.684994,90.356331
Pakistan,488529,30.375321,69.345116
Philippines,477807,12.879721,121.774017
Sweden,469748,60.128161,18.643501
Switzerland,459660,46.818188,8.227512
Morocco,443146,31.791702,-7.09262
Israel,442187,31.046051,34.851612
Portugal,427254,39.399872,-8.224454
Austria,364574,47.516231,14.550072
Serbia,343870,44.016521,21.005859
Hungary,328851,47.162494,19.503304
Jordan,298208,30.585164,36.238414
Nepal,261859,28.394857,84.124008
Panama,253736,8.537981,-80.782127
Japan,243847,36.204824,138.252924
Georgia,229763,42.315407,43.356892
Azerbaijan,220265,40.143105,47.576927
Ecuador,214614,-1.831239,-78.183406
Croatia,212958,45.1,15.2
Kazakhstan,207068,48.019573,66.923684
Bulgaria,203051,42.733883,25.48583
Belarus,199962,53.709807,27.953389
Lebanon,189278,33.854721,35.862285
Slovakia,188099,48.669026,19.699024
Denmark,168711,56.26392,9.501785
Bolivia,162661,-16.290154,-63.588653
Armenia,160220,40.069099,45.038189
Kuwait,151343,29.31166,47.481766
Lithuania,147997,55.169438,23.881275
Moldova,145873,47.411631,28.369885
Qatar,144644,25.354826,51.183884
Tunisia,143544,33.886917,9.537499
Egypt,142187,26.820553,30.802498
Greece,140099,39.074208,21.824312
Guatemala,138656,15.783471,-90.230759
Oman,129584,21.512583,55.923255
Slovenia,125858,46.151241,14.995463
Ethiopia,125622,9.145,40.489673
Honduras,123369,15.199999,-86.241905
Malaysia,120818,4.210484,101.975766
Venezuela,114407,6.42375,-66.58973
Paraguay,109073,-23.442503,-58.443832
Libya,101975,26.3351,17.228331
Ireland,101887,53.41291,-8.24389
Algeria,100408,28.033886,1.659626
Kenya,96802,-0.023559,37.906193
China,96213,35.86166,104.195397
Bahrain,93478,25.930414,50.637772
Nigeria,90080,9.081999,8.675277
Kyrgyzstan,81388,41.20438,74.766098
Uzbekistan,77258,41.377491,64.585262
Albania,59438,41.153332,20.168331
Singapore,58697,1.352083,103.819836
Ghana,55168,7.946527,-1.023194
Afghanistan,52909,33.93911,67.709953
Kosovo,51965,42.602636,20.902977
Norway,50715,60.472024,8.468946
Montenegro,49195,42.708678,19.37439
Luxembourg,46919,49.815273,6.129583
Latvia,42497,56.879635,24.603189
Finland,36919,61.92411,25.748151
Uganda,36050,1.373333,32.290275
Estonia,29521,58.595272,25.013607
Australia,28504,-25.274398,133.775136
Cameroon,26848,7.369722,12.354722
Namibia,25386,-22.95764,18.49041
Cyprus,23974,35.126413,33.429859
Sudan,23316,12.862807,30.217636
Zambia,21993,-13.133897,27.849332
Uruguay,20823,-32.522779,-55.765835
Senegal,19803,14.497401,-14.452362
Mozambique,19309,-18.665695,35.529562
Madagascar,17767,-18.766947,46.869107
Angola,17642,-11.202692,17.873887
Zimbabwe,15265,-19.015438,29.154857
Mauritania,14794,21.00789,-10.940835
Botswana,14765,-22.328474,24.684866
Maldives,13867,3.202778,73.22068
Guinea,13799,9.945587,-9.696645
Tajikistan,13300,38.861034,71.276093
Malta,13082,35.937496,14.375416
Jamaica,13049,18.109581,-77.297508
Cuba,12740,21.521757,-77.781167
Syria,11710,34.802075,38.996815
Belize,10901,17.189877,-88.49765
Haiti,10127,18.971187,-72.285215
Gabon,9605,-0.803689,11.609444
Rwanda,8676,-1.940278,29.873888
Thailand,8439,15.870032,100.992541
Andorra,8192,42.546245,1.601554
Bahamas,7924,25.03428,-77.39628
Guam,7327,13.444304,144.793731
Mali,7253,17.570692,-3.996166
Malawi,6844,-13.254308,34.301525
Suriname,6393,3.919305,-56.027783
Guyana,6358,4.860416,-58.93018
Nicaragua,6046,12.865416,-85.207229
Djibouti,5842,11.825138,42.590275
Iceland,5754,64.963051,-19.020835
Aruba,5564,12.52111,-69.968338
Somalia,4714,5.152149,46.199616
Gambia,3806,13.443182,-15.310139
Togo,3702,8.619543,0.824782
Niger,3465,17.607789,8.081666
Benin,3251,9.30769,2.315834
Lesotho,3206,-29.609988,28.233608
Jersey,2821,49.214439,-2.13125
Gibraltar,2406,36.137741,-5.345374
Liechtenstein,2222,47.166,9.555373
Chad,2213,15.454166,18.732207
Yemen,2105,15.552727,48.516388
Liberia,1800,6.428055,-9.429499
Vietnam,1497,14.058324,108.277199
Eritrea,1363,15.179384,39.782334
Mongolia,1286,46.862496,103.846656
Monaco,907,43.750298,7.412841
Comoros,864,-11.875001,43.872219
Burundi,833,-3.373056,29.918886
Taiwan,815,23.69781,120.960515
Bhutan,716,27.514162,90.433601
Bermuda,622,32.321384,-64.75737
Barbados,606,13.193887,-59.543198
Mauritius,531,-20.348404,57.552152
Cambodia,382,12.565679,104.990963
Guernsey,300,49.465691,-2.585278
Seychelles,297,-4.679574,55.491977
Grenada,134,12.262776,-61.604171
Dominica,96,15.414999,-61.370976
Fiji,49,-16.578193,179.414413
Laos,41,19.85627,102.495496
Greenland,27,71.706936,-42.604303
Anguilla,15,18.220554,-63.068615
Montserrat,13,16.742498,-62.187366
Vanuatu,1,-15.376706,166.959158
